video_id,cluster_id,similarity,generated_caption,ground_truth_caption
video-KsEOupmYmF0,8,0.4659710228443146,This cluster shows a woman sitting on a bench in a park; also a woman sitting on a bench in a park; also a woman sitting on a bench in a park," The video transitions, the same woman sits on a park bench and continues eating olives. Her expression is disillusioned."
video-KsEOupmYmF0,13,0.18361014127731323,This cluster shows a woman walking down the stairs with a backpack; also a woman sitting on the steps of a house; also a woman standing on the steps of a building, She has short black hair and is scratching her face as she looks around awkwardly.  The first woman looks down to the second as she speaks.
video-KsEOupmYmF0,5,0.27967995405197144,This cluster shows a woman is eating something; also a woman in a blue dress and black boots; also a woman in a blue dress," The camera focuses on the olives. The woman struggles to get the olives on her fork. She continues to eat more olives. As the camera pans out to capture her face and torso, she looks at the olives."
video-KsEOupmYmF0,17,0.48558157682418823,"This cluster shows the title for the video, ' olive lady part 1 '; also string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string string; also the cover of the book, myak is elected"," A black screen with white text in the center that reads all of lady part one, a transition to another that reads dedicated a mayan over 1998 dash.  A woman with long, wavy brown hair and a rose colored Tshirt eats green and purple olives out of a paper to go box. She is sitting in a communal dining area.  The video transitions, the same woman sits on a park bench and continues eating olives. Her expression is disillusioned.  It is daytime. The camera zooms in on her face while she looks around.  It zooms further and focuses on her mouth. She puts a green olive in her mouth with a fork and smiles as she choose.  Transition to a townhouse. The woman walks in front of the house. She comes in on the left of the frame and walks out on the race. She continues eating.  The camera focuses on the olives. The woman struggles to get the olives on her fork. She continues to eat more olives. As the camera pans out to capture her face and torso, she looks at the olives.  She is in front of an iron fence on a city street. She raises her hand and move her hair out of her face. She has olives on each of her five fingers.  She eats olives off of her fingers as she speaks.  She sits on the stairs of a townhouse, smiling.  She awkwardly grabs the camera from the camera person smiling.  The camera shifts to her perspective.  Another child, like woman, appears on the steps wearing a pink tank Top over a blue t shirt.  She has short black hair and is scratching her face as she looks around awkwardly.  The first woman looks down to the second as she speaks.  Olivia holds the box of olives and hesitantly picks one up with her fingers and eats it.  She makes a sour face."
video-KsEOupmYmF0,1,0.5034215450286865,This cluster shows a woman sitting on the steps of a building; also a little girl sitting on the steps; also a young girl sitting on the steps of a building," The camera shifts to her perspective.  Another child, like woman, appears on the steps wearing a pink tank Top over a blue t shirt."
video-KsEOupmYmF0,10,0.3288860619068146,This cluster shows a woman eating an apple; also a woman eating an apple; also a woman eating a piece of food on a sidewalk, She eats olives off of her fingers as she speaks.
video-KsEOupmYmF0,6,0.1854531168937683,This cluster shows a woman in a blue shirt is walking down the street; also a woman holding a yellow umbrella; also a woman in a blue shirt and black pants, She is in front of an iron fence on a city street. She raises her hand and move her hair out of her face. She has olives on each of her five fingers.
video-KsEOupmYmF0,14,0.4912973642349243,This cluster shows a woman sitting on a bench in a park; also a woman sitting on a bench eating food; also a woman sitting on a bench eating food," The video transitions, the same woman sits on a park bench and continues eating olives. Her expression is disillusioned.  It is daytime. The camera zooms in on her face while she looks around."
video-KsEOupmYmF0,2,0.32832658290863037,This cluster shows a man is walking down the stairs in a city; also a woman walking down the street in front of a house; also a building with a gate and some plants, Transition to a townhouse. The woman walks in front of the house. She comes in on the left of the frame and walks out on the race. She continues eating.
video-KsEOupmYmF0,3,0.5233592987060547,This cluster shows a person holding a tray of olives; also a person holding a tray of olives; also a woman is eating a meal of olives," The camera focuses on the olives. The woman struggles to get the olives on her fork. She continues to eat more olives. As the camera pans out to capture her face and torso, she looks at the olives."
video-KsEOupmYmF0,7,0.297768235206604,This cluster shows a young girl standing on a sidewalk with a cell; also a woman standing in front of a fence; also a woman in a blue dress standing in front of a fence, She is in front of an iron fence on a city street. She raises her hand and move her hair out of her face. She has olives on each of her five fingers.
video-KsEOupmYmF0,11,0.14491412043571472,This cluster shows a woman with long brown hair; also a woman with long hair and a black shirt; also a woman with long brown hair and a black shirt, It zooms further and focuses on her mouth. She puts a green olive in her mouth with a fork and smiles as she choose.
video-KsEOupmYmF0,0,0.1912861168384552,This cluster shows a girl is sitting on the steps and holding a plate of food; also a girl sitting on the steps; also a little girl sitting on the steps, Olivia holds the box of olives and hesitantly picks one up with her fingers and eats it.  She makes a sour face.
video-KsEOupmYmF0,16,0.2447287142276764,This cluster shows a black and white photo of a man in a suit; also a black background with a white and red flower; also a black background with a white and red flower," A black screen with white text in the center that reads all of lady part one, a transition to another that reads dedicated a mayan over 1998 dash.  A woman with long, wavy brown hair and a rose colored Tshirt eats green and purple olives out of a paper to go box. She is sitting in a communal dining area.  The video transitions, the same woman sits on a park bench and continues eating olives. Her expression is disillusioned.  It is daytime. The camera zooms in on her face while she looks around.  It zooms further and focuses on her mouth. She puts a green olive in her mouth with a fork and smiles as she choose.  Transition to a townhouse. The woman walks in front of the house. She comes in on the left of the frame and walks out on the race. She continues eating.  The camera focuses on the olives. The woman struggles to get the olives on her fork. She continues to eat more olives. As the camera pans out to capture her face and torso, she looks at the olives.  She is in front of an iron fence on a city street. She raises her hand and move her hair out of her face. She has olives on each of her five fingers.  She eats olives off of her fingers as she speaks.  She sits on the stairs of a townhouse, smiling.  She awkwardly grabs the camera from the camera person smiling.  The camera shifts to her perspective.  Another child, like woman, appears on the steps wearing a pink tank Top over a blue t shirt.  She has short black hair and is scratching her face as she looks around awkwardly.  The first woman looks down to the second as she speaks.  Olivia holds the box of olives and hesitantly picks one up with her fingers and eats it.  She makes a sour face.  The credits roll starring John a Hamilton as olive lady, my oppression, taz, olivia"
video-KsEOupmYmF0,4,0.5208339691162109,This cluster shows a woman sitting at a table eating food; also a woman sitting at a table eating food; also a woman sitting at a table eating food," A woman with long, wavy brown hair and a rose colored Tshirt eats green and purple olives out of a paper to go box. She is sitting in a communal dining area."
video-KsEOupmYmF0,12,0.20137649774551392,This cluster shows a young boy is standing on the steps; also a young girl is standing on the steps; also a woman in a blue shirt and black pants," She sits on the stairs of a townhouse, smiling.  She awkwardly grabs the camera from the camera person smiling."
