video_id,cluster_id,similarity,generated_caption,ground_truth_caption
video-IKs5-pkF4qE,8,0.33840563893318176,This cluster shows a diagram showing the different types of the internet; also a diagram showing the steps to the steps of a website; also a diagram showing the different types of the internet, symbolizing the individuals interaction within the world.  Across is being made along the image showing the barrier between inclusiveness in society towards people with disabilities.  A flowchart is being used  beginning with the computer. This leads the three boxes sectioning each opportunity as said in speech.
video-IKs5-pkF4qE,23,0.08493072539567947,"This cluster shows a piece of paper with the words, ' the best way to write '; also a piece of paper with the words, ' the best way to write '; also a piece of paper with the words, ' up to the limities '", a group of people with injuries restricting their physical abilities. A separated from another group of fully mobile individuals.
video-IKs5-pkF4qE,24,0.05402339622378349,"This cluster shows the cover of the book, the social media guide for the social media; also the cover of the book, the social media guide for the social media; also the cover of the book, the social media guide for the social media", partly for solution and impact on individual.
video-IKs5-pkF4qE,13,0.32154980301856995,"This cluster shows a phone with the text, ' how to use the mobile app? '; also a phone with the text, how to use the mobile app?; also isetv com - isetv com - isetv com - isetv com - isetv com - isetv com - isetv com", The flowchart ends with a globe symbolizing global awareness.  The background image on the screen is a large mobile phone.
video-IKs5-pkF4qE,5,0.1882789582014084,"This cluster shows a white and gray poster with the words, ' the best of the best '; also a white and black poster with the words, ' importance '; also a white poster with a black and white image of a couch"," Four separate images of the lucy for keyboard, a scene on the screen  What  the background of the scene is a study room setting."
video-IKs5-pkF4qE,17,0.3555026054382324,This cluster shows a poster with a drawing of people on it; also disability and disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability; also disability and disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability," Bold text in title, disability, inclusiveness."
video-IKs5-pkF4qE,1,0.3181728720664978,This cluster shows a pair of glasses with a red ball on the lens; also a pair of glasses with a red button on the side; also a pair of glasses with a red button," Two separate images on the left hand side  involve communities of individuals separated by a hot image, indicating the respect and understanding individuals have within society towards each other.  Based  video on screen of the lucy full keyboard."
video-IKs5-pkF4qE,10,0.19720390439033508,This cluster shows the front and back of a black smartphone with a yellow background; also the front and back of a black smartphone with a yellow background; also the front and back of a black smartphone with a yellow background, beginning with the computer. This leads the three boxes sectioning each opportunity as said in speech.  The flowchart ends with a globe symbolizing global awareness.
video-IKs5-pkF4qE,6,0.30589890480041504,"This cluster shows a cartoon character with a speech bubble saying, ' i ' m '; also a cartoon character with a speech bubble saying, ' i ' m '; also a screenshot of a cartoon character with a blue background"," a disorder of the central nervous system.  A photo of a keyboard is crossed out  as well as the face of an upset individual.  Background, sane involves a cartoon car driving along the Top of the screen."
video-IKs5-pkF4qE,2,0.4450964629650116,This cluster shows a girl standing behind a note with the words ' i ' m '; also a woman standing in front of a whiteboard with the words for example; also a poster with a woman and a man in the middle school," Title in bold text, for example,  as well as a photo of a lady with my face on it outlining that this is me.  A speech bubble extends off the word parkinson disease.  This outlines what the disease is,  A photo of a keyboard is crossed out"
video-IKs5-pkF4qE,3,0.2889111638069153,This cluster shows a bro cover for a bro bro on a computer; also a poster advertising a computer and a keyboard; also a poster advertising a computer and a keyboard," first the laser second, both computer screens and the final two images are close up of the lucy for adapted screen  the background of the scene is a study room setting.  Bold text is used for the title importance.  On the screen is five images of previous adaptive keyboards used by individuals with upper limb disabilities."
video-IKs5-pkF4qE,7,0.22425739467144012,"This cluster shows a woman standing on top of a hill with the words, ' the world is yours '; also a woman standing on top of a hill with the words, ' the world is yours '; also a woman standing on top of a hill with the words, ' the world is yours '"," Background, sane involves a cartoon car driving along the Top of the screen.  Image of a rotating globe.  Above the globe is an arrow attached to my character"
video-IKs5-pkF4qE,11,0.06292203813791275,"This cluster shows the cover of the book, the future of the internet; also the cover of the report on the global health and health sector; also the cover of the report on the global health and health market", A small metal laser on the side of the demonstrators glasses pointed towards the screen.  It produces characters which can now be seen on a computer or laptop.
video-IKs5-pkF4qE,0,0.32160770893096924,This cluster shows a woman sitting at a desk in an office; also a woman sitting at a desk with a computer; also a woman sitting in a chair in an office," Two separate images on the left hand side  involve communities of individuals separated by a hot image, indicating the respect and understanding individuals have within society towards each other.  Based  video on screen of the lucy full keyboard.  A small metal laser on the side of the demonstrators glasses pointed towards the screen."
video-IKs5-pkF4qE,16,0.10335934162139893,This cluster shows a4 ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled; also a4 ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled; also a4 ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled ruled," Bold text in title, disability, inclusiveness.  Two images on the screen,  a group of people with injuries restricting their physical abilities. A separated from another group of fully mobile individuals.  Bold text used for the title, upper limb disabilities.  On the screen is a flow chart with four steps  outlining the problem,  partly for solution and impact on individual."
video-IKs5-pkF4qE,4,0.23543593287467957,This cluster shows a poster with a bunch of different types of computers; also a poster with a picture of people and a computer; also a poster with a bunch of different items," first the laser second, both computer screens and the final two images are close up of the lucy for adapted screen  and how the laser is used to produce characters.  On the screen is five images of previous adaptive keyboards used by individuals with upper limb disabilities.  Two images are placed on the screen,  a group of people with disabilities and another without"
video-IKs5-pkF4qE,12,0.6105322241783142,"This cluster shows a phone with the text isetv on it; also a smartphone with the text isetv on it; also the text is on the phone screen, and the text is on the phone screen"," Text is written on the phone background describing each point being said,"
video-IKs5-pkF4qE,18,0.0715002715587616,This cluster shows disability and disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability; also disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability disability," Two images on the screen,"
video-IKs5-pkF4qE,25,0.12262369692325592,"This cluster shows the cover of the book, the power of the mind; also the cover of the book, the power of the web; also the cover of the book, the life cycle"," a group of people with injuries restricting their physical abilities. A separated from another group of fully mobile individuals.  Bold text used for the title, upper limb disabilities."
video-IKs5-pkF4qE,9,0.3497218191623688,This cluster shows a blue background with a white background and a white background with a white border; also a blue background with a white border and a white border; also a logo for a company that is using the word ' pwt '," symbolizing the individuals interaction within the world.  Across is being made along the image showing the barrier between inclusiveness in society towards people with disabilities.  A flowchart is being used  beginning with the computer. This leads the three boxes sectioning each opportunity as said in speech.  The flowchart ends with a globe symbolizing global awareness.  The background image on the screen is a large mobile phone.  Text is written on the phone background describing each point being said,  Two separate images on the left hand side  involve communities of individuals separated by a hot image, indicating the respect and understanding individuals have within society towards each other.  Based  video on screen of the lucy full keyboard.  A small metal laser on the side of the demonstrators glasses pointed towards the screen.  It produces characters which can now be seen on a computer or laptop.  Four separate images of the lucy for keyboard, a scene on the screen  first the laser second, both computer screens and the final two images are close up of the lucy for adapted screen  and how the laser is used to produce characters.  What  the background of the scene is a study room setting.  Bold text is used for the title importance.  On the screen is five images of previous adaptive keyboards used by individuals with upper limb disabilities.  Two images are placed on the screen,  a group of people with disabilities and another without  these are separated by across."
video-IKs5-pkF4qE,26,0.22388207912445068,"This cluster shows a person standing in front of a paper with the words ' up the limits '; also a poster with the words, ' the world is not enough '; also a poster with the words, ' the world is not enough '"," On the screen is a flow chart with four steps  outlining the problem,"
