video_id,cluster_id,similarity,generated_caption,ground_truth_caption
video-KVo_oH7350U,8,0.053578056395053864,This cluster shows a boy is holding a camera; also a woman with a camera on her head; also a man with a pair of glasses on his face,i optikerens Box ligger kikkert Optik lydklasser filterglas kvinde ravpower en kikkert briller
video-KVo_oH7350U,13,0.061826348304748535,This cluster shows a man sitting at a desk with a computer; also a man sitting at a desk with a computer; also a man sitting at a desk with a computer,en kvinde i 20. er til kontaktlinsekontrol og kigge på prikker i to cirkler på en digital skærm
video-KVo_oH7350U,5,-0.11370731145143509,This cluster shows a woman standing in a room with a white wall; also a woman is walking through a door; also a woman is walking through a door,optigan siger farvel til kvinden der har været til kontaktlinsekontrol
video-KVo_oH7350U,17,0.25421983003616333,"This cluster shows muk - hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey; also muk - hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey hey; also the cover of the album, ' ' ' ' '",Du kan kontakte Kommunikationscentret på telefonnummer 72 32 38 00 webadresse er ikke bindende h i l d k musik hobo Journey Scott Holmes
video-KVo_oH7350U,1,0.0060788895934820175,This cluster shows a woman standing in a room with a laptop; also a woman in a black shirt; also a woman in a black shirt,en kvinde i 20. er til kontaktlinsekontrol og kigge på prikker i to cirkler på en digital skærm
video-KVo_oH7350U,6,0.007571257650852203,This cluster shows a computer screen; also a computer screen; also a computer screen,kvinde kigger på en digital skærm med bogstaver afstanden til skærmen er cirka 40
video-KVo_oH7350U,14,0.05677186697721481,This cluster shows a woman looking through a telescope; also a woman looking through a telescope; also a woman looking through a telescope at a camera,kvinden bliver lyst i øjnene med en spaltelampe
video-KVo_oH7350U,2,0.05403796583414078,This cluster shows a woman sitting on a chair; also a woman sitting on a chair; also a woman sitting on a chair,en kvinde i 70er tillykke på det hun får Rådgivning af optikeren
video-KVo_oH7350U,3,0.06025256961584091,This cluster shows a woman wearing a pair of virtual glasses; also a woman is getting her eye examined; also a woman sitting in a chair,en kvinde i 20. er til kontaktlinsekontrol og kigge på prikker i to cirkler på en digital skærm
video-KVo_oH7350U,0,-0.05193476378917694,This cluster shows a man in a blue shirt; also a man holding a pair of scissors in his hands; also a woman holding a cell phone,i optikerens Box ligger kikkert Optik lydklasser filterglas
video-KVo_oH7350U,16,-0.056551191955804825,This cluster shows a white and black striped rug with a white border; also a white and black striped rug with a white border; also a white and black striped rug with a white border,optiker på Kommunikationscentret fortæller en kvinde i 70er tillykke på det hun får Rådgivning af optikeren kvinde kigger på en digital skærm med bogstaver afstanden til skærmen er cirka 40 i optikerens Box ligger kikkert Optik lydklasser filterglas kvinde ravpower en kikkert briller en kvinde i 20. er til kontaktlinsekontrol og kigge på prikker i to cirkler på en digital skærm optikeren holder prøveglas op for en kvinde kvinden bliver lyst i øjnene med en spaltelampe optigan siger farvel til kvinden der har været til kontaktlinsekontrol Du kan kontakte Kommunikationscentret på telefonnummer 72 32 38 00 webadresse er ikke bindende h i l d k
video-KVo_oH7350U,4,-0.030941173434257507,This cluster shows a woman standing in a room with a microphone; also a woman in a black shirt; also a woman in a black shirt,optiker på Kommunikationscentret fortæller en kvinde i 70er tillykke på det hun får Rådgivning af optikeren kvinde kigger på en digital skærm med bogstaver afstanden til skærmen er cirka 40 i optikerens Box ligger kikkert Optik lydklasser filterglas kvinde ravpower en kikkert briller en kvinde i 20. er til kontaktlinsekontrol og kigge på prikker i to cirkler på en digital skærm optikeren holder prøveglas op for en kvinde kvinden bliver lyst i øjnene med en spaltelampe
video-KVo_oH7350U,18,0.20361781120300293,This cluster shows a white and pink sticker with the words kotoss pf - 2230; also a white and red poster with a picture of a man in a suit; also a pink sticker with the words ' kot ' s p ' s ' s p ' s ' s ' s ' s ' s ' s ' s ' s ' s ' s ' s ' s ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ',Du kan kontakte Kommunikationscentret på telefonnummer 72 32 38 00 webadresse er ikke bindende h i l d k
