video_id,cluster_id,similarity,generated_caption,ground_truth_caption
video-5oGyBXv6_eg,8,0.46382856369018555,This cluster shows a group of sheep standing in front of a christmas tree; also a group of sheep standing in front of a christmas tree; also a group of sheep standing in front of a night sky, Sheep one shows jump.
video-5oGyBXv6_eg,23,0.1863144487142563,"This cluster shows a black screen with the words ' a m m ' and ' m m m m m m m m; also a black and white book cover with the title ' ring college of art and design '; also the cover of the book, ' the art of the modern world '", A film by  Michael warren  and kaitlin hagan.
video-5oGyBXv6_eg,19,0.6222060918807983,This cluster shows a sheep standing next to a bed in a room; also a sheep is standing in front of a bed; also sheeps in the night, bed appears on left  cheap one speaks.  Sheep start jumping over bed.
video-5oGyBXv6_eg,20,0.6105443835258484,This cluster shows a sheep and two sheep standing in the grass; also a sheep and two sheep standing in front of a bed, Sheeps numbered one and two appear on right
video-5oGyBXv6_eg,5,0.6082846522331238,This cluster shows the counting sheep; also the counting sheep; also the counting sheep, Clouds appear.  The counting sheep.
video-5oGyBXv6_eg,10,0.3777270019054413,This cluster shows a sheep with a christmas tree in the background; also a sheep is standing in front of a christmas tree; also a cartoon sheep is standing in front of a christmas tree," Sheep, 100 mouth open."
video-5oGyBXv6_eg,29,0.4209864139556885,This cluster shows shaun the sheep movie; also a sheep and a sheep are standing in the snow; also shaun the sheep movie, Sheep 99 and a hundred shown. 100 speaks.
video-5oGyBXv6_eg,6,0.10099726915359497,"This cluster shows a poster for the new album, ' monday friday '; also a poster for the new album, ' monday friday '; also a poster for the new album, ' monday friday '", Original music by  alden baker.
video-5oGyBXv6_eg,14,0.26773717999458313,This cluster shows a cartoon character is dancing in the middle of a forest; also a cartoon character laying on the ground; also a cartoon character laying on the ground, 100 floors on back.  Sheep one shows jump.
video-5oGyBXv6_eg,2,0.10008390247821808,This cluster shows a woman in a white dress and a man in a blue suit; also a man in a white mask and a white mask; also a woman in a white dress and a man in a white suit, Bed appears in front of sheep 99.
video-5oGyBXv6_eg,15,0.4846423864364624,This cluster shows a sheep is running through the snow covered ground; also a sheep standing in front of a forest; also a sheep standing in the middle of a snowy forest," Sheep, 100 runs to front of line.  Bed appears.  But disappears."
video-5oGyBXv6_eg,7,0.003345489501953125,"This cluster shows a poster for the new album, ' monday friday '; also a poster for the new album, ' monday friday '; also a poster for the new album, ' monday friday '", Original sound designed by
video-5oGyBXv6_eg,11,0.24150240421295166,This cluster shows a cartoon character is standing in front of a tree; also a sheep is running through a forest; also a cartoon character is standing in front of a wooden structure," Sheep, one bangs an outhouse door.  Sheep, 100 shaves. It zeros off of 100 on for leaving. Only number one."
video-5oGyBXv6_eg,0,0.27903297543525696,This cluster shows a close up of a toy with a number 10 on it; also a cartoon character with a number 10 on it; also a cartoon character with a number 10 on it," Zooms in on sheep. One hundreds number one,"
video-5oGyBXv6_eg,16,0.37658387422561646,This cluster shows a sheep standing next to a wooden fence; also a cartoon character is standing in front of a window; also a cartoon character standing in front of a window," Sheep 100 prepares to jump.  Bed disappears,"
video-5oGyBXv6_eg,4,0.1659521907567978,This cluster shows a sheep standing in front of a wooden structure; also a cartoon character is standing in front of a house; also a cartoon character is standing in front of a house, Cheap one enters outhouse.
video-5oGyBXv6_eg,12,0.122276172041893,This cluster shows a small white dog standing in front of a wooden house; also a small house with a fire in the middle; also a small house with a fire in the middle, Duct tapes blow torches out. How shut?
video-5oGyBXv6_eg,21,0.40125736594200134,This cluster shows a lamp on a nightstand next to a bed; also a lamp on a nightstand next to a bed; also a lamp that is sitting on a table," Person lays in bed,  turns bedside lamp off."
video-5oGyBXv6_eg,18,0.19408383965492249,This cluster shows a square purple background with a white border; also animon - the best of animon; also animon - the best of animon, Animation powered by cho blast.
video-5oGyBXv6_eg,25,0.4918716549873352,This cluster shows a sheep is standing in the middle of a field; also a sheep is standing in the middle of a snowy landscape; also a sheep is standing in the middle of a forest," Zooms in on sheep. One hundreds number one,  Sheep 100 smiles."
video-5oGyBXv6_eg,22,0.08214087039232254,This cluster shows a black background with a white and red flower; also ring cage of art design; also a black background with a white and red flower," Bring lee college of art and design presents.  Person lays in bed,  turns bedside lamp off.  Clouds appear.  The counting sheep.  Sheeps numbered one and two appear on right  bed appears on left  cheap one speaks.  Sheep start jumping over bed.  Sheep 99 and a hundred shown. 100 speaks.  Sheep 99 and a hundred shown with smiles.  Sheep 100 prepares to jump.  Bed disappears,  100 floors on back.  Sheep one shows jump.  Zooms in on sheep. One hundreds number one,  Sheep 100 smiles.  Cheap one enters outhouse.  Cheap 100  hammers.  Duct tapes blow torches out. How shut?  Sheep, one bangs an outhouse door.  Sheep, 100 shaves. It zeros off of 100 on for leaving. Only number one.  Sheep, 100 runs to front of line.  Bed appears.  But disappears.  Bed appears in front of sheep 99.  Sheep, 100 mouth open.  Outhouse jumps in air."
video-5oGyBXv6_eg,9,0.11355898529291153,This cluster shows a screenshot of a man in a field with a lot of people; also a cartoon scene with a man in a bed; also a cartoon scene with a man in a bed, Sheep 99 and a hundred shown. 100 speaks.
